6,Q1_GENERAL_EVT_06,환기구의 먼지,가능,없음,환기구에 먼지와 검은 이물질이 쌓여 공기가 답답해졌다.,직접 청소한다,"• 체력 소폭 감소
• 정신력 소폭 회복
• 벙커 내부 환경이 개선되었다","환기구에 쌓인 먼지와 검은 이물질을 직접 걷어냈다.
숨이 찰 만큼 힘들었지만, 청소를 마치고 나니 벙커 안의 답답한 공기가 조금은 가벼워진 것 같다.",환기구를 임시로 막는다,"• 체력 변화 없음
• 정신력 소폭 감소
• 벙커 내부 환경이 악화되었다","이상한 냄새가 들어오는 것이 싫어 환기구를 천과 판자로 막았다.
냄새는 줄었지만 공기가 더 무거워졌고, 벙커 안이 전보다 훨씬 답답하게 느껴졌다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
7,Q1_GENERAL_EVT_07,출입문 틈새,가능,없음,벙커 출입문 아래로 희미한 빛과 찬바람이 들어온다.,만능 수리키트로 완전히 보수한다,"• 만능 수리키트 1개 소모
• 정신력 대폭 상승
• 벙커 내부 환경이 개선되었다","만능 수리키트를 사용해 출입문 아래의 틈을 완전히 보수했다.
찬바람과 희미한 빛이 사라지자, 적어도 이 문만큼은 나를 지켜줄 것이라는 안도감이 들었다.",가구로 임시로 막는다,"• 체력 소폭 감소
• 정신력 소폭 감소
• 아이템 소모 없음","무거운 가구를 끌어 출입문 앞의 틈을 임시로 막았다.
몸은 지쳤고 완벽하게 막힌 것도 아니지만, 당분간은 이 상태로 버텨야 할 것 같다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
8,Q1_GENERAL_EVT_08,비상등 고장,가능,없음,벙커의 비상등이 계속 깜박이며 불안감을 키운다.,분해해서 고친다,"• 체력 소폭 감소
• 일정 확률로 수리 성공
• 수리 성공 시 정신력 회복
• 수리 성공 시 벙커 내부 환경이 개선되었다
• 수리 실패 시 정신력 소폭 감소","[수리에 성공한 경우]

깜박이던 비상등을 직접 분해해 고쳤다.
안정된 불빛이 다시 벙커 안을 채우자, 사소한 고장 하나를 해결했을 뿐인데도 마음이 한결 놓였다.

[수리에 실패한 경우]

비상등을 뜯어보았지만 끝내 고장 원인을 찾지 못했다.
시간과 힘만 쓰고 불빛은 더 불안하게 흔들려, 괜히 건드린 것은 아닌지 후회가 남았다.",완전히 꺼버린다,• 정신력 소폭 감소,"계속 깜박이는 불빛을 견딜 수 없어 비상등의 전원을 완전히 내렸다.
거슬리던 빛은 사라졌지만, 어두워진 벙커 안에서 작은 소리까지 더 크게 들리는 것 같다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
9,Q1_GENERAL_EVT_9,물탱크의 이상한 냄새,가능,없음,저장된 물 근처에서 약한 금속 냄새가 난다. 실제로 오염됐는지는 알 수 없다.,물을 일부 버리고 탱크를 확인한다,"• 물 1개 소모
• 체력 피해 방지
• 벙커 내부 환경이 개선되었다","금속 냄새가 나는 물을 일부 버리고 물탱크 안을 확인해 깨끗이 닦았다.
물을 잃은 것은 아깝지만, 적어도 당분간은 안심하고 마실 수 있을 것 같다.",냄새가 약하니 그대로 둔다,"• 물 소모 없음
• 체력 소폭 감소","냄새가 약하다는 이유로 물탱크를 그대로 두었다.
물을 마신 뒤 속이 불편해지기 시작했고, 작은 이상이라도 무시해서는 안 된다는 생각이 들었다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
10,Q1_GENERAL_EVT_10,부풀어 오른 통조림,가능,없음,보관 중인 통조림 하나가 이상하게 부풀어 있다.,바로 버린다,"• 통조림 1개 소모
• 체력 피해 방지","이상하게 부풀어 오른 통조림은 열어보지 않고 바로 버렸다.
식량 하나가 아깝기는 하지만, 상한 음식을 먹고 쓰러지는 것보다는 나은 선택이었을 것이다.",냄새를 확인한 뒤 먹는다,"• 통조림 1개 소모
• 배고픔 회복
• 일정 확률로 체력 감소","[이상이 없는 경우]

통조림의 냄새를 확인한 뒤 조심스럽게 먹었다.
맛도 냄새도 크게 이상하지 않았고, 배를 채울 수 있었으니 이번에는 운이 좋았던 것 같다.

[체력이 감소한 경우]

통조림을 먹은 뒤 얼마 지나지 않아 심한 복통이 시작되었다.
아깝다는 생각에 위험한 음식을 억지로 먹은 대가를 제대로 치른 셈이다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
11,Q1_GENERAL_EVT_11,금이 간 물병,가능,없음,보관 중인 물병 하나에 작은 금이 생겼다.,지금 마신다,"• 물 1개 소모
• 갈증 회복
• 물 손실 방지","금이 더 벌어지기 전에 물병을 바로 비워 마셨다.
보관해두지는 못했지만, 물을 바닥에 흘리지 않고 갈증을 해결한 것으로 만족해야겠다.",다른 용기에 옮긴다,"• 일정 확률로 물 1개 보존
• 실패 시 물 1개 손실
• 갈증은 회복되지 않음","[옮기는 데 성공한 경우]

금이 간 물병의 물을 다른 용기로 천천히 옮겼다.
한 방울도 흘리지 않고 보관하는 데 성공해, 귀한 물을 지켜냈다는 안도감이 들었다.

[옮기는 데 실패한 경우]

물을 옮기던 도중 병의 금이 갑자기 크게 벌어졌다.
손쓸 틈도 없이 물이 바닥으로 쏟아졌고, 눈앞에서 사라지는 물을 바라볼 수밖에 없었다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
12,Q1_GENERAL_EVT_12,녹슨 못,가능,없음,벙커 안을 정리하다 녹슨 못에 손을 긁혔다.,구급상자를 사용한다,"• 구급상자 1개 소모
• 체력 피해 방지","녹슨 못에 긁힌 상처를 깨끗이 닦고 구급상자로 제대로 치료했다.
출혈과 통증이 가라앉는 것을 보니, 작은 상처라도 방치하지 않길 잘했다.",천으로 대충 감싼다,"• 아이템 소모 없음
• 체력 감소","구급상자를 아끼기 위해 상처를 천으로 대충 감쌌다.
피는 멎었지만 욱신거림이 계속되는 것을 보니, 제대로 된 치료라고 하기는 어려울 것 같다.",계열 점수 없음,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
B. 구조신호 계열 점수 이벤트 (7개) · 2~12일 차에 선택지 1을 고르면 구조신호 계열 점수 +1,,,,,,,,,,,,,,,,,,,,,,,,,
원본 번호,EventId 가안,이벤트 제목,마지막 벙커,계열 점수,상황 설명,선택지 1,선택지 1 시스템 결과,선택지 1 결과창 문구,선택지 2,선택지 2 시스템 결과,선택지 2 결과창 문구,점수 적용 기간,상태,비고,,,,,,,,,,,
13,Q1_GENERAL_EVT_13,멀리서 보이는 손전등,불가,구조신호 +1,밤에 지상 출입구 틈으로 일정한 간격의 불빛이 보인다.,같은 간격으로 불빛을 보낸다,"• 정신력 소폭 회복
• 2~12일 차에만 구조신호 계열 점수 +1","멀리서 보인 불빛과 같은 간격으로 손전등을 깜박여 답을 보냈다.
잠시 뒤 상대의 불빛이 한 번 더 돌아왔고, 곧 사라졌지만 누군가가 그곳에 있었다는 생각은 남았다.",출입구를 가리고 숨는다,"• 정신력 소폭 감소
• 계열 점수 변화 없음","출입구에서 새어 나가는 빛을 가리고 벙커 안으로 몸을 숨겼다.
바깥의 불빛은 얼마 지나지 않아 사라졌고, 그 정체를 확인하지 않은 것이 옳았는지는 알 수 없다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
14,Q1_GENERAL_EVT_14,버려진 가방,불가,구조신호 +1,출입구 가까운 곳에 작은 가방 하나가 놓여 있다. 주변에는 아무도 없다.,가방을 가져온다,"• 일정 확률로 통조림 또는 물 1개 획득
• 일정 확률로 아무것도 획득하지 못함
• 2~12일 차에만 구조신호 계열 점수 +1","[물자를 획득한 경우]

주변을 충분히 살핀 뒤 출입구 앞에 놓인 가방을 벙커 안으로 가져왔다.
가방 안에는 아직 사용할 수 있는 물자가 남아 있었고, 누가 두고 갔는지는 끝내 알 수 없었다.

[가방이 비어 있던 경우]

위험을 감수하고 가방을 가져왔지만 안에는 쓸 만한 것이 하나도 없었다.
괜한 기대를 했다는 허탈함과, 누군가 일부러 빈 가방을 둔 것은 아닐지 모른다는 불안만 남았다.",손대지 않는다,"• 스탯 및 아이템 변화 없음
• 계열 점수 변화 없음","정체를 알 수 없는 가방에는 손대지 않고 그대로 출입구를 닫았다.
물자가 들어 있었을지도 모르지만, 지금은 모르는 물건에 목숨을 걸 수 없다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
15,Q1_GENERAL_EVT_15,부서진 소형 수신기,불가,구조신호 +1,출입구 주변에서 망가진 소형 수신기를 발견한다. 전원을 켜자 희미한 잡음과 끊어진 음성이 반복해서 들려온다.,부품과 신호를 조사한다,"• 정신력 소폭 상승
• 2~12일 차에만 구조신호 계열 점수 +1","망가진 소형 수신기를 분해해 남아 있는 부품과 잡히는 주파수를 하나씩 확인했다.
끊어진 음성밖에는 들리지 않았지만, 누군가 신호를 보냈던 흔적만큼은 분명해 보였다.",쓸모없는 물건으로 판단하고 버린다,"• 스탯 및 아이템 변화 없음
• 계열 점수 변화 없음","고장 난 수신기는 더 조사하지 않고 출입구 밖으로 밀어냈다.
잡음에 시간을 쓰기보다 지금 가진 물자와 살아남는 일에 집중하는 편이 낫다고 판단했다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
16,Q1_GENERAL_EVT_16,지붕 위의 반사광,불가,구조신호 +1,출입구 밖을 확인하던 중 멀리 있는 건물 옥상에서 햇빛을 반사하는 듯한 빛이 반복해서 보인다.,반사되는 방향과 간격을 확인한다,"• 체력 소폭 감소
• 정신력 소폭 회복
• 2~12일 차에만 구조신호 계열 점수 +1","몸을 낮춘 채 멀리 보이는 반사광의 방향과 반복되는 간격을 확인했다.
빛은 일정한 순서를 몇 차례 되풀이한 뒤 사라졌고, 단순한 햇빛이 아니었을지도 모른다는 생각이 들었다.",위험할 수 있으니 안으로 들어간다,"• 스탯 및 아이템 변화 없음
• 계열 점수 변화 없음","반사광이 함정일 가능성을 생각해 더 확인하지 않고 벙커 안으로 돌아왔다.
빛은 잠시 후 시야에서 사라졌지만, 무엇이 있었는지는 끝내 알 수 없게 되었다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
17,Q1_GENERAL_EVT_17,하늘의 붉은 섬광,불가,구조신호 +1,밤하늘 멀리에서 붉은 섬광이 한 번 솟아오른다. 불길인지 신호탄인지 구분하기 어렵다.,섬광이 나타난 방향을 기록한다,"• 정신력 소폭 회복
• 2~12일 차에만 구조신호 계열 점수 +1","밤하늘에 솟아오른 붉은 섬광의 방향과 시간을 일기장에 정확히 남겼다.
화재였을 수도 있지만, 누군가 구조를 바라며 쏘아 올린 신호탄일 가능성도 쉽게 지울 수 없었다.",화재일 뿐이라고 생각하고 무시한다,"• 정신력 소폭 감소
• 계열 점수 변화 없음","붉은 섬광은 멀리서 난 화재일 뿐이라고 생각하고 출입구를 닫았다.
빛은 곧 사라졌지만, 혹시 누군가의 신호를 외면한 것은 아닌지 마음 한쪽이 불편했다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
18,Q1_GENERAL_EVT_18,상공을 스치는 드론,불가,구조신호 +1,출입구 밖에서 작은 기계음이 들린다. 하늘을 확인하자 정체를 알 수 없는 드론 한 대가 주변을 천천히 지나가고 있다.,반사되는 물건을 흔들어 위치를 알린다,"• 체력 소폭 감소
• 정신력 소폭 상승
• 2~12일 차에만 구조신호 계열 점수 +1","빛이 잘 반사되는 물건을 들고 상공의 드론을 향해 여러 번 흔들었다.
드론은 잠시 주변을 맴돌다가 아무 반응 없이 멀어졌지만, 내 위치를 보았을 가능성은 있을 것 같다.",들키지 않도록 벙커 안으로 숨는다,"• 정신력 소폭 감소
• 계열 점수 변화 없음","드론이 누구의 것인지 알 수 없어 출입구에서 물러나 벙커 안으로 숨었다.
기계음이 완전히 사라질 때까지 움직이지 않았고, 들키지 않았다는 안도감과 기회를 놓쳤다는 생각이 함께 남았다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
19,Q1_GENERAL_EVT_19,멀리서 울리는 경보 사이렌,불가,구조신호 +1,멀리 떨어진 곳에서 경보 사이렌이 세 차례 울린다. 자동으로 작동한 것인지 누군가 일부러 울린 것인지는 알 수 없다.,사이렌이 들린 방향과 시간을 확인한다,"• 체력 소폭 감소
• 정신력 소폭 상승
• 2~12일 차에만 구조신호 계열 점수 +1","출입구 가까이 올라가 멀리서 울린 사이렌의 방향과 시간을 확인했다.
세 번째 경보가 끝난 뒤에는 아무 소리도 이어지지 않았지만, 누군가 의도적으로 울린 신호일 가능성은 기록해두기로 했다.",고장 난 시설에서 난 소리라고 생각한다,"• 체력 변화 없음
• 정신력 소폭 감소
• 계열 점수 변화 없음","오래된 경보 시설이 고장 나 저절로 울린 것이라고 생각하기로 했다.
확인하러 나가지는 않았지만, 사이렌이 들린 방향이 계속 신경 쓰여 쉽게 마음을 놓을 수 없었다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
C. 합류 계열 점수 이벤트 (7개) · 2~12일 차에 선택지 1을 고르면 합류 계열 점수 +1,,,,,,,,,,,,,,,,,,,,,,,,,
원본 번호,EventId 가안,이벤트 제목,마지막 벙커,계열 점수,상황 설명,선택지 1,선택지 1 시스템 결과,선택지 1 결과창 문구,선택지 2,선택지 2 시스템 결과,선택지 2 결과창 문구,점수 적용 기간,상태,비고,,,,,,,,,,,
20,Q1_GENERAL_EVT_20,벽 너머의 발소리,불가,합류 +1,밤이 되자 벙커 벽 바깥에서 느린 발소리가 들린다. 사람인지 좀비인지 알 수 없다.,벽에 귀를 대고 확인한다,"• 정신력 소폭 감소
• 2~12일 차에만 합류 계열 점수 +1","벽에 귀를 대고 바깥의 느린 발소리에 집중했다.
사람인지 좀비인지는 끝내 알 수 없었지만, 발소리가 멀어질 때까지 누군가 벙커 곁을 지나고 있다는 느낌을 지울 수 없었다.",불을 끄고 조용히 기다린다,"• 정신력 소폭 감소
• 계열 점수 변화 없음","모든 불을 끄고 숨을 죽인 채 발소리가 지나가기를 기다렸다.
한참 뒤 바깥은 다시 조용해졌지만, 확인하지 못한 정체 때문에 긴장이 쉽게 풀리지 않았다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
21,Q1_GENERAL_EVT_21,문 앞의 분필 표시,불가,합류 +1,출입문 근처 벽에 전에는 없던 분필 표시가 남아 있다.,비슷한 표시를 남겨 응답한다,"• 정신력 소폭 회복
• 2~12일 차에만 합류 계열 점수 +1","벽에 남겨진 분필 표시 옆에 비슷한 기호를 그려 응답했다.
누가 남긴 표시인지는 모르지만, 이 근처에 살아 있는 사람이 있다면 내 흔적을 알아볼지도 모른다.",표시를 지운다,"• 스탯 및 아이템 변화 없음
• 계열 점수 변화 없음","출입문 근처의 분필 자국을 흔적이 남지 않도록 깨끗이 지웠다.
누군가의 메시지였을 가능성도 있지만, 벙커의 위치를 알리는 위험은 감수하고 싶지 않았다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
22,Q1_GENERAL_EVT_22,짧은 도움 요청,불가,합류 +1,밖에서 누군가 한 번만 도움을 외친 뒤 조용해진다.,문을 열지 않고 물자를 밖에 둔다,"• 통조림 또는 물 1개 소모
• 정신력 소폭 회복
• 2~12일 차에만 합류 계열 점수 +1","문은 열지 않은 채 통조림이나 물을 출입문 밖에 조심스럽게 내려놓았다.
잠시 후 물자가 사라진 것을 확인했고, 적어도 오늘 누군가에게 작은 도움이 되었기를 바랐다.",아무 반응도 하지 않는다,"• 아이템 소모 없음
• 정신력 소폭 감소
• 계열 점수 변화 없음","밖에서 들린 도움 요청에 아무 반응도 하지 않고 숨을 죽였다.
목소리는 다시 들리지 않았지만, 그 사람이 어떻게 되었을지 생각하면 마음이 무거워진다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
23,Q1_GENERAL_EVT_23,어둠 속의 휘파람,불가,합류 +1,출입구 바깥에서 짧은 휘파람 소리가 일정한 간격으로 반복된다. 사람의 신호처럼 들리지만 확신할 수 없다.,같은 방식으로 휘파람을 돌려준다,"• 정신력 소폭 회복
• 2~12일 차에만 합류 계열 점수 +1","바깥에서 들린 휘파람과 같은 간격으로 나도 짧게 휘파람을 불어 답했다.
잠시 뒤 멀리서 한 번의 응답이 돌아왔고, 주변은 다시 조용해졌지만 누군가가 있다는 사실만큼은 분명해 보였다.",소리를 내지 않고 기다린다,"• 정신력 소폭 감소
• 계열 점수 변화 없음","어떤 소리도 내지 않은 채 휘파람이 멈추기를 기다렸다.
몇 차례 더 이어지던 소리는 점점 멀어졌고, 상대가 누구였는지는 끝내 확인하지 못했다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
24,Q1_GENERAL_EVT_24,출입문 앞의 빈 물병,불가,합류 +1,출입문 앞에 빈 물병 하나가 놓여 있다. 병에는 작은 글씨로 “조금만 부탁합니다”라고 적혀 있다.,물을 채워 다시 밖에 둔다,"• 물 1개 소모
• 정신력 소폭 회복
• 2~12일 차에만 합류 계열 점수 +1","출입문 앞의 빈 병에 귀한 물을 채워 다시 원래 자리에 두었다.
잠시 후 병이 사라진 것을 보니 누군가 가져간 듯했고, 그 물이 필요한 사람에게 닿았기를 바랐다.",빈 병을 치워버린다,"• 아이템 소모 없음
• 정신력 소폭 감소
• 계열 점수 변화 없음","빈 물병을 출입구에서 멀리 치워버렸다.
다시 도움을 청하러 오는 사람이 없기를 바랐지만, 병에 적힌 짧은 부탁이 계속 마음에 남았다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
25,Q1_GENERAL_EVT_25,여러 사람의 발자국,불가,합류 +1,출입구 주변에 크기가 다른 여러 개의 발자국이 남아 있다. 한 사람이 아니라 여러 명이 함께 이동한 흔적처럼 보인다.,이동 방향과 흔적을 확인한다,"• 체력 소폭 감소
• 정신력 소폭 상승
• 2~12일 차에만 합류 계열 점수 +1","출입구 주변의 발자국을 따라가며 이동 방향과 대략적인 인원수를 확인했다.
크기가 다른 흔적이 여러 개 이어져 있었고, 근처를 지나간 것이 한 사람이 아니라는 사실은 분명했다.",발자국을 지워버린다,"• 체력 소폭 감소
• 계열 점수 변화 없음","벙커로 이어질 수 있는 발자국을 주변 흙과 먼지로 모두 지웠다.
몸은 힘들었지만, 그들이 누구였든 이곳으로 되돌아오는 길을 쉽게 찾지는 못할 것이다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
26,Q1_GENERAL_EVT_26,벽에 적힌 이름들,불가,합류 +1,근처 벽면에 여러 사람의 이름과 날짜가 적혀 있다. 가장 최근 날짜는 며칠 전이다.,자신의 이름과 오늘 날짜를 남긴다,"• 정신력 소폭 회복
• 2~12일 차에만 합류 계열 점수 +1","벽에 적힌 여러 이름 아래에 내 이름과 오늘 날짜도 함께 남겼다.
누군가 이곳을 다시 지나간다면, 적어도 오늘까지 내가 살아 있었다는 사실은 알 수 있을 것이다.",이름들을 모두 지운다,"• 정신력 소폭 감소
• 계열 점수 변화 없음","벽에 적힌 이름과 날짜를 알아볼 수 없도록 모두 지웠다.
낯선 사람들의 흔적은 사라졌지만, 그중 몇 명이나 아직 살아 있을지는 계속 생각하게 된다.",2~12일 차에만 적용,확정,EventId는 실제 콘텐츠용 가안,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"주의: 구조신호·합류 계열 점수는 해당 이벤트가 2~12일 차에 발생했을 때만 적용하며, 13일 차 이후에는 계열 점수와 엔딩에 영향을 주지 않는다.",,,,,,,,,,,,,,,,,,,,,,,,,
